,case title,judges name(s),date of judgment,citation,issues,decision,cited cases
0,Jagdish Saran & Ors vs Union Of India & Ors,"Krishnaiyer, V.R.","28 January, 1980"," 1980 AIR  820, 1980 SCR  (2) 831",Article 14 in The Constitution Of India 1949 ; Article 15 in The Constitution Of India 1949 ; Article 32 in The Constitution Of India 1949 ; Article 16 in The Constitution Of India 1949 ; ,0,"{'state of kerala v. n. m. thomas ': 1.0, 'rajendran v. madras ': 1.0, 'periakaruppan v. tamil nadu ': 1.0}"
1,"Grindlays Bank Limited vs The Income Tax Officer, 'H' Ward ...","Pathak, R.S.","15 January, 1980"," 1980 AIR  656, 1980 SCR  (2) 765","Article 226 in The Constitution Of India 1949 ; Section 153 in The Income- Tax Act, 1995 ; ",0,"{'c- g] director of inspection of income tax (investigation) new delhi and anr. v. pooran mall and sons and anr ': 0.8, ""cachar plywood ltd. v. income tax officer, 'a' ward, karimganj dist "": 0.8, 'anisminic ltd. v. the foreign compensation commission & anr ': 1.0, 'director of inspection of income-tax (investigation), new delhi and another v. pooran mall & sons and another ': 1.0, 'anisminic ltd. v. the foreign compensation commission and another ': 1.0}"
2,Deep Chand And Anr. vs State Of Uttar Pradesh And Anr.,"N Untwalia, O C Reddy","16 January, 1980"," AIR 1980 SC 633, (1980) 3 SCC 231, 1980 (12) UJ 516 SC","Section 4 in The Land Acquisition Act, 1894 ; ",1,{}
3,"Managing Director, Uttar Pradesh ... vs Vinay Narayan Vajpayee","Sarkaria, Ranjit Singh","16 January, 1980"," 1980 AIR  840, 1980 SCR  (2) 773",Article 226 in The Constitution Of India 1949 ; Article 12 in The Constitution Of India 1949 ; ,0,"{'e-g] sukhdev singh v. bhagat ram ': 0.8, 'ramana dayaram shetty v. the international airport authority of india & ors ': 0.8, 'd-785 a-f] sukhdev singh & ors. v. bhagatram sardar singh raghuvanshi & anr ': 0.8, 'executive committee of u.p. state warehousing corporation ltd. v. chandra kiran tyagi ': 1.0, 'sirsi municipality v. cecelia kom francis tellis ': 1.0, 'sukhdev sing & ors. v. bhagatram sardar singh raghuvanshi & anr ': 1.0, 'narainda barot v. divisional controller, s.t.c ': 1.0, 'ramana 782 dayaram shetty v. the international airport authority of india & ors ': 1.0}"
4,State Of Rajasthan vs Daulat Ram,"A Koshal, S M Ali","23 January, 1980"," AIR 1980 SC 1314, 1980 CRILJ 929, (1980) 3 SCC 303, 1980 (12) UJ 140 A SC",,0,{}
5,"Managing Director, Uttar Pradesh ... vs Vinay Narayan Vajpayee","Sarkaria, Ranjit Singh","16 January, 1980"," 1980 AIR  840, 1980 SCR  (2) 773",Article 226 in The Constitution Of India 1949 ; Article 12 in The Constitution Of India 1949 ; ,0,"{'e-g] sukhdev singh v. bhagat ram ': 0.8, 'ramana dayaram shetty v. the international airport authority of india & ors ': 0.8, 'd-785 a-f] sukhdev singh & ors. v. bhagatram sardar singh raghuvanshi & anr ': 0.8, 'executive committee of u.p. state warehousing corporation ltd. v. chandra kiran tyagi ': 1.0, 'sirsi municipality v. cecelia kom francis tellis ': 1.0, 'sukhdev sing & ors. v. bhagatram sardar singh raghuvanshi & anr ': 1.0, 'narainda barot v. divisional controller, s.t.c ': 1.0, 'ramana 782 dayaram shetty v. the international airport authority of india & ors ': 1.0}"
6,Kusa & Ors vs State Of Orissa,"Fazalali, Syed Murtaza","17 January, 1980"," 1980 AIR  559, 1980 SCR  (2) 801",,0,"{'d-e] khushal rao v. the state of bombay ': 0.8, 'tarachand damu sutar v. the state of maharashtra ': 0.8, 'mannu raja & anr. v. state of m.p ': 1.0, 'ram nath madhoprasad & ors. v. state of m.p ': 1.0, 'in khushal rao v. the state of bombay ': 1.0}"
7,Vinod Kumar Chowdhry vs Narain Devi Taneja,"Koshal, A.D.","11 January, 1980"," 1980 AIR 2012, 1980 SCR  (2) 746","Section 14 in The Delhi Rent Act, 1995 ; Section 38 in The Delhi Rent Act, 1995 ; Section 37 in The Delhi Rent Act, 1995 ; section 14 filter: delhi rent control act ; ",0,"{'c-d] devi singh v. chaman lal ': 0.8, 'r. k. parikh v. uma verma i.l.r ': 0.8, 'bhagwati pershad v. om perkhash ': 0.8, 'mahavir singh v. kamal narain ': 1.0, 'bhagwati pershad v. om perkash ': 1.0, 'mahavir singh v. kamala narain ': 1.0, 'bhagwati prasad v. om prakash ': 1.0}"
8,"Commissioner Of Income-Tax, West ... vs Kalyanji Mavji & Company","Pathak, R.S.","14 January, 1980"," 1980 AIR  640, 1980 SCR  (2) 758",,0,"{'motipur sugar factory ltd. v. c.i.t. bihar and orissa ': 0.8, 'devi films ltd. v. c.i.t. madras ': 0.8, 'badridas daga v. c.i.t ': 0.8, 'calcutta co. ltd. v. c.i.t. west bengal ': 1.0, 'f] assam bengal cement co. ltd. v. c.i.t. west bengal ': 1.0, 'motipur sugar factory ltd. v. c.i.t., bihar ': 1.0}"
9,Mohd. Ramzani vs State Of Delhi,"D Desai, R Sarkaria","30 January, 1980"," AIR 1980 SC 1341, 1980 CRILJ 1010, 1980 SUPP (1) SCC 215, 1980 SUPP SCC 215, 1980 (12) UJ 541 SC","Section 96 in The Indian Penal Code ; Section 105 in The Indian Evidence Act, 1872 ; Section 313 in The Code Of Criminal Procedure, 1973 ; ",0,{}
10,Rajasthan State Road Transport ... vs Narain Shanker & Anr. Etc. Etc,"Krishnaiyer, V.R.","30 January, 1980"," 1980 AIR  695, 1980 SCR  (2) 866",Article 41 in The Constitution Of India 1949 ; ,0,{}
11,Harish Chander Nigam vs State Of U.P. And Ors.,"N Untwalia, O C Reddy","21 January, 1980"," AIR 1980 SC 647, (1980) 1 SCC 662, 1980 2 SCR 809, 1980 (12) UJ 340 SC","Section 35 in the Central Excise Act, 1944 ; Section 29 in the Central Excise Act, 1944 ; Article 136 in The Constitution Of India 1949 ; ",0,{}
12,Dayal Saran Sanan vs Union Of India (Uoi) And Ors.,"N Untwalia, O C Reddy","16 January, 1980"," AIR 1980 SC 554, 1980 LABLC 380, (1980) 3 SCC 25, 1980 (12) UJ 509 SC",Article 189 in The Constitution Of India 1949 ; Article 352 in The Constitution Of India 1949 ; Article 353 in The Constitution Of India 1949 ; ,1,{}
13,Bikram Singh And Ors. vs Ram Baboo And Ors.,"A Sen, D Desai","20 January, 1980"," AIR 1981 SC 2036, (1982) 1 SCC 485",,1,{}
14,Mariadasan And Ors. vs State Of Tamil Nadu,"A Koshal, S M Ali","17 January, 1980"," AIR 1980 SC 573, 1980 CRILJ 412, (1980) 3 SCC 68, 1980 (12) UJ 300 SC","Section 2 in The Supreme Court (Enlargement of Criminal Appellate Jurisdiction) Act, 1970 ; ",1,{}
